ID: 465c6f99-c854-4be5-9b69-543cdf4c49d6	 DateTime: 2023-02-26	11:33:09	 Message: /	GET
ID: 128123c7-69ba-431d-a662-78c5d6334718	 DateTime: 2023-02-26	11:33:09	 Message: /favicon.ico	GET
ID: 95b24ff6-86ee-4d98-b312-212d463afbc1	 DateTime: 2023-02-26	11:33:35	 Message: /mugen	GET
ID: be012b43-0ed7-4f50-9046-12d8e16afb26	 DateTime: 2023-02-26	11:33:36	 Message: /favicon.ico	GET
ID: fd82bf72-d643-4355-9bdf-06b96e7be61f	 DateTime: 2023-02-26	11:33:59	 Message: /??	GET
ID: 37f746ed-60b2-4244-be3a-731c6c2adacf	 DateTime: 2023-02-26	11:33:59	 Message: /favicon.ico	GET
ID: 60578613-7f67-4ab3-a6ef-331da9b068a6	 DateTime: 2023-02-26	11:34:51	 Message: /mugen-sama	GET
ID: 4a442453-d64c-4297-9190-d19be7cb437d	 DateTime: 2023-02-26	11:34:51	 Message: /favicon.ico	GET
ID: aab8624b-ec9f-43ad-bba8-617128a70d54	 DateTime: 2023-02-26	11:36:32	 Message: /mugen-sama	GET
ID: ae83dbf5-fc7b-4a54-b28b-cbe36fb68507	 DateTime: 2023-02-26	11:37:00	 Message: /mugen-sama	GET
ID: 8a050bd8-b078-4654-83e8-aaf616c5fcc2	 DateTime: 2023-02-26	11:37:00	 Message: /favicon.ico	GET
ID: 835bf8b0-621b-4bfe-b5bb-360acc358848	 DateTime: 2023-02-26	18:17:27	 Message: /mugen-sama	GET
ID: 806f4f43-ddb4-45c2-9ba2-ad642b3cd194	 DateTime: 2023-02-26	18:17:27	 Message: /favicon.ico	GET
ID: d0437b94-e113-444f-a4df-65c29f823fec	 DateTime: 2023-02-26	18:17:30	 Message: /	GET
ID: e795c7dd-62df-4821-8915-8e6568c5e3ed	 DateTime: 2023-02-26	18:17:30	 Message: /favicon.ico	GET
ID: caaba9c9-253f-4140-a139-630429b8bc69	 DateTime: 2023-02-26	18:17:36	 Message: /data/data.json	GET
ID: 69b32471-e164-4e79-8a61-03eb2ff6f401	 DateTime: 2023-02-26	18:17:36	 Message: /favicon.ico	GET
